startbin	endbin
1	15
16	42
43	71
72	91
92	96
97	145
146	180
181	189
190	216
217	258
259	306
307	351
352	387
388	404
405	416
417	442
443	490
491	521
522	551
552	567
568	579
580	621
622	633
634	657
658	689
690	702
703	734
735	777
778	780
781	798
799	843
844	876
877	920
921	963
964	996
997	1002
1003	1019
1020	1031
1032	1042
1043	1062
1063	1106
1107	1123
1124	1168
1169	1207
1208	1256
1257	1283
1284	1305
1306	1325
1326	1337
1338	1376
1377	1411
1412	1429
1430	1463
1464	1470
1471	1488
1489	1522
1523	1562
1563	1599
1600	1608
1609	1638
1639	1652
1653	1660
1661	1688
1689	1718
1719	1740
1741	1760
1761	1797
1798	1816
1817	1847
1848	1885
1886	1906
1907	1953
1954	1976
1977	1995
1996	2018
2019	2036
2037	2065
2066	2073
2074	2112
2113	2134
2135	2144
2145	2177
2178	2211
2212	2222
2223	2241
2242	2249
2250	2288
2289	2302
2303	2344
2345	2372
2373	2414
2415	2440
2441	2463
2464	2498
2499	2508
2509	2550
2551	2584
2585	2605
2606	2629
2630	2659
2660	2684
2685	2697
2698	2720
2721	2735
2736	2751
2752	2759
2760	2765
2766	2803
2804	2835
2836	2868
2869	2883
2884	2909
2910	2937
2938	2986
2987	3017
3018	3057
3058	3077
3078	3122
3123	3160
3161	3165
3166	3174
3175	3182
3183	3196
3197	3234
3235	3266
3267	3280
3281	3327
3328	3347
3348	3350
3351	3355
3356	3386
3387	3422
3423	3451
3452	3491
3492	3522
3523	3558
3559	3583
3584	3590
3591	3607
3608	3623
3624	3627
3628	3654
3655	3671
3672	3712
3713	3735
3736	3762
3763	3778
3779	3810
3811	3841
3842	3853
3854	3877
3878	3889
3890	3937
3938	3953
3954	3972
3973	3999
4000	4039
4040	4061
4062	4078
4079	4081
4082	4092
4093	4132
4133	4163
4164	4205
4206	4222
4223	4229
4230	4235
4236	4271
4272	4311
4312	4333
4334	4369
1	15
16	42
43	91
92	96
97	145
146	180
181	189
190	216
217	258
259	306
307	351
352	387
388	404
405	416
417	442
443	490
491	551
552	567
568	579
580	621
622	633
634	657
658	689
690	702
703	734
735	777
778	780
781	798
799	843
844	876
877	920
921	963
964	996
997	1002
1003	1019
1020	1031
1032	1042
1043	1062
1063	1106
1107	1168
1169	1207
1208	1256
1257	1305
1306	1325
1326	1337
1338	1376
1377	1411
1412	1429
1430	1463
1464	1488
1489	1522
1523	1562
1563	1599
1600	1608
1609	1638
1639	1652
1653	1660
1661	1718
1719	1760
1761	1797
1798	1816
1817	1885
1886	1906
1907	1953
1954	1995
1996	2018
2019	2036
2037	2073
2074	2112
2113	2134
2135	2144
2145	2177
2178	2211
2212	2249
2250	2302
2303	2372
2373	2414
2415	2440
2441	2508
2509	2550
2551	2584
2585	2659
2660	2684
2685	2697
2698	2735
2736	2765
2766	2835
2836	2868
2869	2909
2910	2937
2938	2986
2987	3057
3058	3077
3078	3122
3123	3160
3161	3165
3166	3174
3175	3182
3183	3196
3197	3234
3235	3280
3281	3350
3351	3386
3387	3451
3452	3491
3492	3558
3559	3583
3584	3590
3591	3607
3608	3623
3624	3654
3655	3671
3672	3712
3713	3735
3736	3762
3763	3810
3811	3841
3842	3877
3878	3889
3890	3937
3938	3953
3954	3972
3973	3999
4000	4061
4062	4078
4079	4081
4082	4132
4133	4163
4164	4205
4206	4222
4223	4271
4272	4311
4312	4333
4334	4369
1	15
16	42
43	91
92	145
146	189
190	216
217	258
259	306
307	351
352	387
388	404
405	416
417	442
443	490
491	551
552	579
580	621
622	657
658	689
690	734
735	777
778	780
781	798
799	843
844	876
877	920
921	963
964	1019
1020	1031
1032	1062
1063	1106
1107	1168
1169	1207
1208	1256
1257	1305
1306	1325
1326	1337
1338	1376
1377	1411
1412	1463
1464	1522
1523	1562
1563	1599
1600	1608
1609	1638
1639	1652
1653	1660
1661	1718
1719	1760
1761	1797
1798	1816
1817	1885
1886	1906
1907	1953
1954	1995
1996	2018
2019	2036
2037	2073
2074	2112
2113	2134
2135	2177
2178	2249
2250	2302
2303	2372
2373	2414
2415	2440
2441	2508
2509	2550
2551	2584
2585	2659
2660	2684
2685	2697
2698	2735
2736	2765
2766	2835
2836	2868
2869	2909
2910	2937
2938	2986
2987	3057
3058	3077
3078	3122
3123	3165
3166	3182
3183	3196
3197	3234
3235	3280
3281	3350
3351	3386
3387	3451
3452	3491
3492	3558
3559	3583
3584	3590
3591	3607
3608	3623
3624	3671
3672	3735
3736	3762
3763	3810
3811	3841
3842	3877
3878	3889
3890	3937
3938	3953
3954	3972
3973	3999
4000	4061
4062	4081
4082	4132
4133	4205
4206	4222
4223	4271
4272	4311
4312	4369
